
t	hormone
0	999
1	999
2	999
3	430
4	426
5	425
6	425
7	425
8	425
9	425
10	425
11	425
12	425
13	425
14	425
15	425
16	425
17	425
18	425
19	425
20	425
21	425
22	425
23	425
24	425
25	425
26	425
27	425
28	425
29	425
30	425
31	425
32	425
33	425
34	425
35	425
36	425
37	425
38	425
39	425
40	425
41	425
42	425
43	425
44	425
45	425
46	425
47	425
48	425
49	425
50	425
51	425
52	425
53	425
54	425
55	425
56	425
57	425
58	425
59	425
60	425
61	425
62	425
63	425
64	425
65	425
66	425
67	425
68	425
69	425
70	425
71	425
72	425
73	425
74	425
75	425
76	425
77	425
78	425
79	425
80	425
81	425
82	425
83	425
84	425
85	425
86	425
87	425
88	425
89	425
90	425
91	425
92	425
93	425
94	425
95	425
96	425
97	425
98	425
99	425
100	425
101	425
102	425
103	425
104	425
105	425
106	425
107	425
108	425
109	425
110	425
111	425
112	425
113	425
114	425
115	425
116	425
117	425
118	425
119	425
120	425
121	425
122	425
123	425
124	425
125	425
126	425
127	425
128	425
129	425
130	425
131	425
132	425
133	425
134	425
135	425
136	425
137	425
138	425
139	425
140	425
141	425
142	425
143	425
144	425
145	425
146	425
147	425
148	425
149	425
150	425
151	425
152	425
153	425
154	425
155	425
156	425
157	425
158	425
159	425
160	425
161	425
162	425
163	425
164	425
165	425
166	425
167	425
168	425
169	425
170	425
171	425
172	425
173	425
174	425
175	425
176	425
177	425
178	425
179	425
180	425
181	425
182	425
183	425
184	425
185	425
186	425
187	425
188	425
189	425
190	425
191	425
192	425
193	425
194	425
195	425
196	425
197	425
198	425
199	425



pLeave 	0.665
pArrive 	0.035
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
