
t	hormone
0	430
1	430
2	430
3	430
4	430
5	430
6	430
7	430
8	430
9	430
10	430
11	430
12	430
13	430
14	430
15	430
16	430
17	430
18	430
19	430
20	430
21	430
22	430
23	430
24	430
25	430
26	430
27	430
28	430
29	430
30	430
31	430
32	430
33	430
34	430
35	430
36	430
37	430
38	430
39	430
40	430
41	430
42	430
43	430
44	430
45	430
46	430
47	430
48	430
49	430
50	430
51	430
52	430
53	430
54	430
55	430
56	430
57	430
58	430
59	430
60	430
61	430
62	430
63	430
64	430
65	430
66	430
67	430
68	430
69	430
70	430
71	430
72	430
73	430
74	430
75	430
76	430
77	430
78	430
79	430
80	430
81	430
82	430
83	430
84	430
85	430
86	430
87	430
88	430
89	430
90	430
91	430
92	430
93	430
94	430
95	430
96	430
97	430
98	430
99	430
100	430
101	430
102	430
103	430
104	430
105	430
106	430
107	430
108	430
109	430
110	430
111	430
112	430
113	430
114	430
115	430
116	430
117	430
118	430
119	430
120	430
121	430
122	430
123	430
124	430
125	430
126	430
127	430
128	430
129	430
130	430
131	430
132	430
133	430
134	430
135	430
136	430
137	430
138	430
139	430
140	430
141	430
142	430
143	430
144	430
145	430
146	430
147	430
148	430
149	430
150	430
151	430
152	430
153	430
154	430
155	430
156	430
157	430
158	430
159	430
160	430
161	430
162	430
163	430
164	430
165	430
166	430
167	430
168	430
169	430
170	430
171	430
172	430
173	430
174	430
175	430
176	430
177	430
178	430
179	430
180	430
181	430
182	430
183	430
184	430
185	430
186	430
187	430
188	430
189	430
190	430
191	430
192	430
193	430
194	430
195	430
196	430
197	430
198	430
199	430



pLeave 	0.95
pArrive 	0.05
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
