
t	hormone
0	999
1	999
2	999
3	358
4	354
5	353
6	353
7	353
8	353
9	353
10	353
11	353
12	353
13	353
14	353
15	353
16	353
17	353
18	353
19	353
20	353
21	353
22	353
23	353
24	353
25	353
26	353
27	353
28	353
29	353
30	353
31	353
32	353
33	353
34	353
35	353
36	353
37	353
38	353
39	353
40	353
41	353
42	353
43	353
44	353
45	353
46	353
47	353
48	353
49	353
50	353
51	353
52	353
53	353
54	353
55	353
56	353
57	353
58	353
59	353
60	353
61	353
62	353
63	353
64	353
65	353
66	353
67	353
68	353
69	353
70	353
71	353
72	353
73	353
74	353
75	353
76	353
77	353
78	353
79	353
80	353
81	353
82	353
83	353
84	353
85	353
86	353
87	353
88	353
89	353
90	353
91	353
92	353
93	353
94	353
95	353
96	353
97	353
98	353
99	353
100	353
101	353
102	353
103	353
104	353
105	353
106	353
107	353
108	353
109	353
110	353
111	353
112	353
113	353
114	353
115	353
116	353
117	353
118	353
119	353
120	353
121	353
122	353
123	353
124	353
125	353
126	353
127	353
128	353
129	353
130	353
131	353
132	353
133	353
134	353
135	353
136	353
137	353
138	353
139	353
140	353
141	353
142	353
143	353
144	353
145	353
146	353
147	353
148	353
149	353
150	353
151	353
152	353
153	353
154	353
155	353
156	353
157	353
158	353
159	353
160	353
161	353
162	353
163	353
164	353
165	353
166	353
167	353
168	353
169	353
170	353
171	353
172	353
173	353
174	353
175	353
176	353
177	353
178	353
179	353
180	353
181	353
182	353
183	353
184	353
185	353
186	353
187	353
188	353
189	353
190	353
191	353
192	353
193	353
194	353
195	353
196	353
197	353
198	353
199	353



pLeave 	0.665
pArrive 	0.035
pAttack 	0.5
maxI 	1000000
maxT 	200
maxH 	1000
